city_a,city_b,similarity_low,similarity_mid,similarity_high,iso_a,iso_b
Biketown Portland,BIXI Montréal,0.8257978086990961,0.8390698741782573,0.38148078484279674,US,CA
Biketown Portland,Bike Share Toronto,0.845989414658161,0.919255776657726,0.3730325453542517,US,CA
Biketown Portland,Vélib Paris,0.8517864379017058,0.7680913747372514,0.3663978176588655,US,FR
Biketown Portland,Vélo'v Lyon,0.8363609475903706,0.8739611932835037,0.34665103654600044,US,FR
Biketown Portland,VéLÔ Toulouse,0.856770433354912,0.9253271189128424,0.4498505908812324,US,FR
Biketown Portland,Le VélO Bordeaux,0.7751133194378307,0.7976805951110006,0.4338136668522072,US,FR
Biketown Portland,Le Vélo Marseille,0.8310330580255193,0.824815179414761,0.32959417528289203,US,FR
Biketown Portland,Santander London,0.8595180940285692,0.9057627013543815,0.7290920545209016,US,GB
Biketown Portland,Beryl Bournemouth,0.7399620615884241,0.862595641681866,0.2886069985231702,US,GB
Biketown Portland,Beryl Manchester,0.8537514382617752,0.9402358858309001,0.4478641350600124,US,GB
Biketown Portland,Nextbike Berlin,0.8106535402408451,0.9591256218239858,0.307213693108215,US,DE
Biketown Portland,Swabi Augsburg,0.8278071680496537,0.967451021692841,0.33738997501758794,US,DE
Biketown Portland,Nextbike Praha,0.6750339718548515,0.9483458533082385,0.33614017682996,US,CZ
Biketown Portland,BiciMAD Madrid,0.8570838788067354,0.9201907785546021,0.500445885756484,US,ES
Biketown Portland,Bicing Barcelona,0.8223149393420597,0.88770743801861,0.5736877379881958,US,ES
Biketown Portland,Valenbisi València,0.8255106696311855,0.8019253584987109,0.33342752196380915,US,ES
Biketown Portland,BikeMi Milan,0.8541059881710463,0.8509671400777385,0.5386715426839673,US,IT
Biketown Portland,Villo Bruxelles,0.8166640879665747,0.8483347015681425,0.776209256019984,US,BE
Biketown Portland,Velo Antwerpen,0.7965618989684169,0.9089497254839253,0.8669720294290291,US,BE
Biketown Portland,Metrorower,0.7619795538631849,0.9375139208208985,0.32018048199591065,US,PL
Biketown Portland,Mevo Gdańsk,0.6165643467633295,0.9410599357547376,0.31823108472393147,US,PL
Biketown Portland,Velospot CH,0.5503957005681469,0.9411020259017246,0.34582287296978625,US,CH
Biketown Portland,Ecobici Ciudad de Mexico,0.8170783518149355,0.8444251468036935,0.9488264155648785,US,MX
Biketown Portland,Ecobici Buenos Aires,0.825800405576056,0.7919984948800973,0.6968249989803452,US,AR
Biketown Portland,Bike Itaú Rio,0.7429469470235273,0.9447421182335772,0.29639662561610536,US,BR
