city_a,city_b,median,lower,upper,ci_width
Beryl Bournemouth,Swabi Augsburg,0.8103338579968042,0.6611477321377782,0.9072113602431515,0.2460636281053733
Le VélO Bordeaux,Metrorower,0.8094653592308083,0.6728157539554702,0.8838107342268332,0.210994980271363
Citi Bike NYC,Bluebikes Boston,0.8076850517182697,0.6746046613461864,0.8981956400252614,0.22359097867907507
Ecobici Ciudad de Mexico,Ecobici Buenos Aires,0.8071659367233597,0.6345729857901697,0.9228131892167792,0.2882402034266095
Bike Share Toronto,Nextbike Praha,0.8045958026239991,0.6910655514122298,0.8679341998349912,0.1768686484227614
Citi Bike NYC,Vélo'v Lyon,0.8045780254019479,0.6554576257139771,0.8686461106537969,0.2131884849398198
Citi Bike NYC,Divvy Chicago,0.8044543951979315,0.685525455504488,0.8901434302038403,0.2046179746993524
Bluebikes Boston,Villo Bruxelles,0.803127472658963,0.6485049525245369,0.8987155150536075,0.2502105625290706
Le VélO Bordeaux,Beryl Manchester,0.8025778783289848,0.6565543735049002,0.930398226275047,0.2738438527701468
Biketown Portland,Swabi Augsburg,0.8025698824747871,0.6376622019362906,0.9103637380538703,0.27270153611757963
VéLÔ Toulouse,BikeMi Milan,0.8017307394924347,0.6511471363963527,0.9359018220754596,0.2847546856791069
Capital DC,Bike Share Toronto,0.801173458061694,0.6776687592770485,0.8650705538058704,0.18740179452882189
Citi Bike NYC,BiciMAD Madrid,0.8008881339664355,0.6482273323166524,0.8792980932387888,0.2310707609221364
BikeMi Milan,Villo Bruxelles,0.8007491104203894,0.6307139840547674,0.9439350760274595,0.3132210919726921
VéLÔ Toulouse,Valenbisi València,0.7999094122854987,0.6264390000796841,0.9127225295768712,0.28628352949718705
Bluebikes Boston,Velo Antwerpen,0.7991868909679505,0.6494552271721967,0.9232691363569956,0.27381390918479886
Citi Bike NYC,BIXI Montréal,0.7983438984314686,0.6428804272600812,0.8534809110005621,0.2106004837404809
Bluebikes Boston,BikeMi Milan,0.7978376716595691,0.6347633763688414,0.9023376150023276,0.26757423863348617
Beryl Bournemouth,Mevo Gdańsk,0.7975398344390264,0.6161888715894995,0.8772425014544807,0.26105362986498115
VéLÔ Toulouse,Villo Bruxelles,0.7975249660625958,0.6421384965532122,0.9367099373591066,0.29457144080589437
Bay Wheels SF,Velo Antwerpen,0.7969646093188851,0.617983778061475,0.9014906362035907,0.28350685814211574
Bluebikes Boston,Le VélO Bordeaux,0.7958113131722919,0.630725137689328,0.8901460519831135,0.25942091429378544
Le Vélo Marseille,Nextbike Berlin,0.795437471313647,0.6325268191122323,0.844681802491031,0.21215498337879868
Valenbisi València,Villo Bruxelles,0.7939369004588883,0.6490103887652615,0.9479267674877486,0.2989163787224871
Le Vélo Marseille,Swabi Augsburg,0.7937923680410433,0.6462096080810799,0.8963067719379489,0.2500971638568691
Capital DC,Beryl Bournemouth,0.7936405372253656,0.6115895867289146,0.8675745305372476,0.25598494380833303
Bay Wheels SF,Le Vélo Marseille,0.7936134973504709,0.6547033031031693,0.921311031792842,0.26660772868967275
Bike Share Toronto,VéLÔ Toulouse,0.792572085771028,0.6343212764317445,0.8927050842978465,0.25838380786610193
Le Vélo Marseille,Mevo Gdańsk,0.7921765545416377,0.6361641391080931,0.8525550062705257,0.2163908671624326
Bicing Barcelona,Velo Antwerpen,0.7900053075125009,0.6381695142694986,0.8640006586650607,0.22583114439556207
Beryl Bournemouth,Beryl Manchester,0.7892825079845195,0.6483027569981885,0.9118368890289846,0.2635341320307961
Le Vélo Marseille,Nextbike Praha,0.7878710799438653,0.6301413368931674,0.8430915221637029,0.21295018527053544
Swabi Augsburg,Velo Antwerpen,0.7872826327072624,0.6414436054152544,0.9171671689733243,0.27572356355806993
Nextbike Berlin,Bike Itaú Rio,0.7868759147173785,0.651757624139829,0.8424857389494668,0.1907281148096378
Vélo'v Lyon,Le Vélo Marseille,0.7849707263235093,0.6217259575904847,0.8562290650759911,0.2345031074855064
Vélib Paris,BiciMAD Madrid,0.7845851674935362,0.6265029124579937,0.8248875947700998,0.19838468231210604
Divvy Chicago,BiciMAD Madrid,0.7837163255647187,0.6477441539959534,0.9076338291020832,0.2598896751061298
Capital DC,Le VélO Bordeaux,0.7835145683709246,0.6521015868889077,0.8572650582556826,0.20516347136677482
Bluebikes Boston,Le Vélo Marseille,0.7820953081082564,0.6621591629345641,0.9076970600310472,0.2455378970964831
Divvy Chicago,VéLÔ Toulouse,0.7820307507124231,0.6547059635265308,0.8639527113274514,0.20924674780092067
Le Vélo Marseille,Beryl Manchester,0.7801853513556838,0.6544460023383925,0.9269485360428501,0.27250253370445765
VéLÔ Toulouse,Swabi Augsburg,0.7797053818475292,0.640672725836786,0.8738565027698636,0.23318377693307757
Valenbisi València,BikeMi Milan,0.7776878997414574,0.615534031179987,0.9494286890660814,0.3338946578860944
Nextbike Berlin,Mevo Gdańsk,0.7775453038391957,0.7066074024719485,0.8328761986624688,0.12626879619052023
BikeMi Milan,Ecobici Buenos Aires,0.7767361911357042,0.5981798705845199,0.9253312200947409,0.32715134951022096
